metric,snapshot,pit,delta
illiquidity: mean_ic,0.015318499868788677,-0.005977568870691505,-0.021296068739480183
illiquidity: ic_tstat_nw,1.9242599600137702,-0.8431723605769047,-2.767432320590675
illiquidity: sharpe_gross,0.6079365208453538,-0.13059739667903972,-0.7385339175243935
illiquidity: sharpe_net,0.5317447745518609,-0.21275210913351345,-0.7444968836853743
illiquidity: alpha_annual,0.08011285653574071,-0.007273090316485129,-0.08738594685222584
illiquidity: alpha_tstat,3.591795594511476,-0.3257102713610843,-3.91750586587256
illiquidity: avg_turnover,0.6984790998826087,0.7659748867441727,0.06749578686156399
illiquidity: max_drawdown_net,-0.35090607673390284,-0.5423920283442076,-0.1914859516103048
selected_best: selected_signal,illiquidity,mom_12_1,
selected_best: deflated_sharpe,0.2212863356393825,0.34734974164508614,0.12606340600570365
selected_best: sr0_annual_benchmark,0.7307660368077885,0.11720886493560691,-0.6135571718721816
selected_best: sharpe_net_pre2020,1.2722581034505793,0.050086652039931734,-1.2221714514106476
selected_best: sharpe_net_post2020,-0.19525465442066003,-0.07351527669900133,0.1217393777216587
selected_best: market_excess_sharpe,0.9031975787854438,0.8609471489825942,-0.042250429802849654
selected_best: random_signal_mean_sharpe,-0.7886423103397292,-0.702104600501231,0.08653770983849818
universe_size,402,614,212
pit_coverage(usable/requested),,614/805,191 missing
